"benchmarkKey","commit","label","round","caseName","success","error","httpStatus","evalTokensPerSecond","evalTokens","evalMs","draftAcceptance","draftAccepted","draftGenerated","promptTokensPerSecond","promptTokens","promptMs","ttftMs","totalMs","outputCharacters"
"a49f80b7cea2","ded1561b4228495daa58342ffc111ff172ec86ac","refine-2f18fe13",3,"text",true,,200,62.94,256,4067.6,0.58798,137,233,1162.09,27644,23788.09,23819.971667000093,27888.124291999964,1038
"a49f80b7cea2","ded1561b4228495daa58342ffc111ff172ec86ac","refine-2f18fe13",3,"vision",true,,200,78.09,256,3278.13,0.78283,155,198,954.21,30861,32341.82,32414.61437499989,35693.173207999906,882
"a49f80b7cea2","ded1561b4228495daa58342ffc111ff172ec86ac","refine-2f18fe13",3,"post-vision",true,,200,71.65,256,3573.03,0.70952,149,210,923.12,30901,33474.56,33551.785542000085,37125.201667000074,1152
"a49f80b7cea2","5a6a0dd7e1f7342bac4618a223fc21f9cece3b48","refine-2f18fe13",3,"text",true,,200,70.16,256,3648.72,0.58798,137,233,1155.29,27644,23928.2,23982.93695900007,27632.07820899994,1038
"a49f80b7cea2","5a6a0dd7e1f7342bac4618a223fc21f9cece3b48","refine-2f18fe13",3,"vision",true,,200,79.45,256,3222,0.78283,155,198,911.19,30861,33868.93,33954.72937500011,37177.12933400017,882
"a49f80b7cea2","5a6a0dd7e1f7342bac4618a223fc21f9cece3b48","refine-2f18fe13",3,"post-vision",true,,200,67.43,256,3796.57,0.70952,149,210,903.99,30901,34182.94,34263.01124999998,38060.13679100014,1152
"a49f80b7cea2","487a6cc164d950c368d06965ca7d8f297b47bd35","refine-2f18fe13",3,"text",true,,200,67.97,256,3766.61,0.58798,137,233,1213.45,27644,22781.31,22825.30587500008,26592.368791999994,1038
"a49f80b7cea2","487a6cc164d950c368d06965ca7d8f297b47bd35","refine-2f18fe13",3,"vision",true,,200,82.19,256,3114.89,0.78283,155,198,866.83,30861,35602.15,35686.91816699994,38802.21941699996,882
"a49f80b7cea2","487a6cc164d950c368d06965ca7d8f297b47bd35","refine-2f18fe13",3,"post-vision",true,,200,78.53,256,3259.99,0.70952,149,210,902.39,30901,34243.35,34320.72054199991,37581.18212500005,1152
"a49f80b7cea2","b11f7c16bc1c3b320c5cd427d545ee6fa6bd535c","refine-2f18fe13",3,"text",true,,200,72.75,256,3519.1,0.58798,137,233,1257.61,27644,21981.37,22023.891084000003,25543.42379199993,1038
"a49f80b7cea2","b11f7c16bc1c3b320c5cd427d545ee6fa6bd535c","refine-2f18fe13",3,"vision",true,,200,82.61,256,3098.86,0.78283,155,198,975.94,30861,31621.98,31703.537666999968,34802.839375000214,882
"a49f80b7cea2","b11f7c16bc1c3b320c5cd427d545ee6fa6bd535c","refine-2f18fe13",3,"post-vision",true,,200,79.28,256,3228.99,0.70952,149,210,979.72,30901,31540.53,31616.779124999885,34846.19145799987,1152
"a49f80b7cea2","e7e3f350904c087c7601f5d9d276c3c127f84345","refine-2f18fe13",3,"text",true,,200,73.14,256,3500.13,0.58798,137,233,1197.27,27644,23089.18,23119.595124999993,26619.168166000396,1038
"a49f80b7cea2","e7e3f350904c087c7601f5d9d276c3c127f84345","refine-2f18fe13",3,"vision",true,,200,81.09,256,3157.02,0.78283,155,198,931.31,30861,33137.15,33215.354250000324,36373.01912500011,882
"a49f80b7cea2","e7e3f350904c087c7601f5d9d276c3c127f84345","refine-2f18fe13",3,"post-vision",true,,200,76.65,256,3339.99,0.70952,149,210,902.71,30901,34231.49,34319.81945899967,37660.182916999795,1152
